"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Modules\reducer.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 38
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Navigation.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 4, 26
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\People\Table\page.tsx", "TypeScript JSX", 0, 38, 0, 0, 36, 3, 77
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\People\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 2, 1, 7
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Pazza\page.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 1, 7
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Quizzes\page.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 1, 7
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Zoom\page.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 1, 7
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\layout.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 5, 41
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\page.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 3, 8
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\reducer.ts", "TypeScript", 15, 0, 0, 0, 0, 3, 18
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\reducer.ts", "TypeScript", 29, 0, 0, 0, 0, 3, 32
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Dashboard\page.tsx", "TypeScript JSX", 0, 92, 0, 0, 0, 12, 104
